sample_id,qid,word_count,sentence_count,average_sentence_length,vocabulary_ratio,filler_ratio,stopword_ratio,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,keyword_coverage,tfidf_cosine_similarity,duration_seconds,speech_rate_wpm,rms_energy,zero_crossing_rate,silence_ratio,speech_available,target_score
sample_049,qid_4,166.0,11.0,15.09,0.4174,0.0742,0.4859,0.2655,0.0274,0.7071,0.7249,0.3066,0.4447,71.18,170.74,0.017,0.069,0.1556,1.0,51.43
sample_050,qid_5,175.0,14.0,12.5,0.5309,0.0607,0.329,0.2744,0.0467,0.6789,0.4306,0.3909,0.4679,76.19,171.9,0.0539,0.0331,0.1821,1.0,52.69
sample_051,qid_1,215.0,27.0,7.96,0.8778,0.0874,0.2862,0.2024,0.0617,0.7359,0.4121,0.2965,0.2678,0.0,0.0,0.0,0.0,0.0,0.0,45.05
sample_052,qid_2,226.0,14.0,16.14,0.8523,0.0711,0.4396,0.1317,0.0044,0.8639,0.3846,0.4727,0.2511,90.8,180.01,0.0786,0.0889,0.1557,1.0,57.16
sample_053,qid_3,173.0,11.0,15.73,0.7053,0.042,0.5264,0.0895,0.0462,0.8643,0.2659,0.2881,0.3216,61.18,200.12,0.022,0.1176,0.1389,1.0,43.29
sample_054,qid_4,225.0,29.0,7.76,0.9184,0.0701,0.4408,0.0388,0.06,0.9012,-0.166,0.4955,0.2972,88.35,173.58,0.0502,0.0412,0.1051,1.0,59.08
sample_055,qid_5,186.0,15.0,12.4,0.6779,0.0689,0.4142,0.2343,0.0082,0.7575,0.3841,0.2981,0.4232,82.86,177.25,0.0691,0.1964,0.2256,1.0,50.42
sample_056,qid_1,226.0,16.0,14.12,0.4102,0.0462,0.496,0.07,0.0522,0.8778,0.3167,0.3039,0.3059,90.16,197.5,0.0368,0.1436,0.2198,1.0,38.19
sample_057,qid_2,194.0,12.0,16.17,0.4068,0.0451,0.3361,0.0274,0.0145,0.9581,0.5581,0.3811,0.4553,68.72,201.78,0.0354,0.1304,0.1479,1.0,46.51
sample_058,qid_3,148.0,13.0,11.38,0.5531,0.0969,0.4862,0.0592,0.0695,0.8713,-0.055,0.4947,0.434,54.81,184.13,0.0483,0.1377,0.1031,1.0,58.61
sample_059,qid_4,161.0,10.0,16.1,0.9119,0.0715,0.3264,0.0962,0.0015,0.9023,0.79,0.3083,0.3826,68.04,177.33,0.0714,0.0651,0.1776,1.0,53.67
sample_060,qid_5,210.0,16.0,13.12,0.8358,0.0643,0.4881,0.1382,0.0283,0.8335,0.821,0.3242,0.2708,73.04,199.69,0.04,0.1856,0.1096,1.0,45.37
sample_061,qid_1,89.0,7.0,12.71,0.6475,0.0199,0.5329,0.2251,0.0172,0.7577,0.1718,0.7325,0.759,48.33,131.54,0.0317,0.1611,0.1296,1.0,79.97
sample_062,qid_2,91.0,8.0,11.38,0.4395,0.0023,0.2806,0.291,0.0004,0.7086,0.2222,0.7429,0.8015,42.75,158.86,0.0467,0.0447,0.159,1.0,79.85
sample_063,qid_3,68.0,5.0,13.6,0.8194,0.0198,0.4669,0.2578,0.02,0.7222,0.4926,0.7242,0.8375,0.0,0.0,0.0,0.0,0.0,0.0,74.92
sample_064,qid_4,70.0,6.0,11.67,0.5627,0.0036,0.4774,0.0739,0.0092,0.9169,0.4452,0.8391,0.789,38.03,131.65,0.0566,0.1405,0.1255,1.0,82.93
sample_065,qid_5,93.0,12.0,7.75,0.44,0.0209,0.3718,0.2229,0.0052,0.7719,0.3707,0.7879,0.7981,48.9,139.56,0.0543,0.0696,0.1426,1.0,79.34
sample_066,qid_1,88.0,13.0,6.77,0.4274,0.0027,0.2902,0.1543,0.0465,0.7992,0.3402,0.7597,0.6583,45.4,140.09,0.0053,0.1094,0.1323,1.0,76.07
sample_067,qid_2,53.0,4.0,13.25,0.7063,0.0083,0.5258,0.0326,0.0088,0.9586,0.4241,0.7049,0.8313,24.78,153.94,0.0836,0.1803,0.1059,1.0,81.41
sample_068,qid_3,56.0,4.0,14.0,0.5205,0.0283,0.4554,0.1902,0.041,0.7688,0.3115,0.7153,0.6841,0.0,0.0,0.0,0.0,0.0,0.0,69.47
sample_069,qid_4,52.0,4.0,13.0,0.8164,0.0189,0.3384,0.1651,0.0478,0.7871,0.5175,0.732,0.743,28.57,144.74,0.0421,0.1359,0.1796,1.0,78.05
sample_070,qid_5,78.0,5.0,15.6,0.8969,0.0259,0.4986,0.2035,0.0441,0.7524,0.2109,0.7617,0.7145,41.56,137.79,0.0115,0.0674,0.1523,1.0,79.86
sample_071,qid_1,54.0,4.0,13.5,0.432,0.0265,0.4193,0.2738,0.0457,0.6805,0.6135,0.7888,0.8129,26.79,152.02,0.0246,0.0567,0.1321,1.0,80.64
sample_072,qid_2,91.0,12.0,7.58,0.7635,0.0057,0.518,0.2892,0.0372,0.6736,0.7654,0.681,0.804,48.62,136.86,0.0495,0.1586,0.1709,1.0,78.24
sample_073,qid_3,51.0,6.0,8.5,0.7208,0.0294,0.4506,0.0927,0.0507,0.8566,0.528,0.836,0.6614,25.55,152.83,0.0323,0.1375,0.1341,1.0,80.81
sample_074,qid_4,76.0,9.0,8.44,0.8009,0.0213,0.4079,0.0362,0.006,0.9578,0.7467,0.878,0.7752,38.88,143.38,0.0357,0.0412,0.1448,1.0,84.69
sample_075,qid_5,64.0,4.0,16.0,0.5313,0.0,0.3229,0.1512,0.0755,0.7733,0.2215,0.8508,0.7454,30.05,154.78,0.0668,0.0691,0.1098,1.0,82.36
sample_076,qid_1,79.0,7.0,11.29,0.5426,0.0148,0.3905,0.2703,0.0184,0.7113,0.2992,0.854,0.8978,38.88,142.37,0.0825,0.0615,0.1105,1.0,84.99
sample_077,qid_2,67.0,5.0,13.4,0.8393,0.0114,0.4491,0.0567,0.0026,0.9407,0.7946,0.9302,0.9195,30.26,144.63,0.0598,0.1032,0.0582,1.0,89.48
sample_078,qid_3,61.0,4.0,15.25,0.5614,0.0068,0.2831,0.0403,0.0314,0.9283,0.486,0.928,0.8437,29.68,148.9,0.0082,0.1117,0.1102,1.0,81.92
sample_079,qid_4,76.0,10.0,7.6,0.6969,0.0003,0.4102,0.0789,0.0277,0.8934,0.6931,0.9724,0.8109,35.91,145.68,0.071,0.0908,0.1118,1.0,87.76
sample_080,qid_5,101.0,12.0,8.42,0.4544,0.0095,0.4707,0.0288,0.0749,0.8963,-0.2292,0.9204,0.9064,46.28,152.42,0.0322,0.1685,0.1,1.0,81.33
sample_081,qid_1,79.0,7.0,11.29,0.7107,0.0118,0.4098,0.0314,0.0131,0.9555,0.457,0.9442,0.889,36.67,148.01,0.0313,0.1099,0.0835,1.0,88.12
sample_082,qid_2,91.0,8.0,11.38,0.6888,0.0108,0.3417,0.299,0.078,0.623,0.6052,0.8759,0.902,43.23,136.44,0.042,0.1776,0.0521,1.0,85.67
sample_083,qid_3,83.0,8.0,10.38,0.5799,0.0056,0.5467,0.0312,0.0694,0.8994,-0.0185,0.907,0.9088,41.01,144.73,0.0387,0.0771,0.1111,1.0,85.94
sample_084,qid_4,104.0,9.0,11.56,0.8347,0.0035,0.4895,0.1335,0.0481,0.8184,0.5928,0.8985,0.8769,47.46,143.26,0.0128,0.0989,0.0548,1.0,86.3
sample_085,qid_5,98.0,9.0,10.89,0.7083,0.0025,0.3856,0.2914,0.0207,0.6879,0.6097,0.8923,0.916,49.84,137.62,0.0239,0.0425,0.1179,1.0,85.64
sample_086,qid_1,89.0,11.0,8.09,0.6337,0.0088,0.5361,0.0907,0.0287,0.8806,0.4156,0.9287,0.8535,42.86,145.67,0.0407,0.1769,0.1047,1.0,84.73
sample_087,qid_2,79.0,8.0,9.88,0.4297,0.008,0.5329,0.031,0.0098,0.9592,0.4665,0.9714,0.8474,35.28,145.14,0.0839,0.1941,0.0529,1.0,86.23
sample_088,qid_3,106.0,9.0,11.78,0.5782,0.008,0.314,0.0572,0.0115,0.9313,0.8079,0.9453,0.8244,51.8,138.77,0.0238,0.1938,0.1012,1.0,83.55
sample_089,qid_4,60.0,4.0,15.0,0.8912,0.0102,0.4142,0.193,0.0695,0.7375,0.5494,0.854,0.9396,27.74,148.79,0.0577,0.097,0.0974,1.0,86.98
sample_090,qid_5,109.0,8.0,13.62,0.5654,0.013,0.5482,0.2307,0.0072,0.7621,0.3521,0.8642,0.8976,50.53,150.3,0.0771,0.1792,0.1148,1.0,83.41
sample_091,qid_1,94.0,9.0,10.44,0.5544,0.0554,0.3687,0.1965,0.0488,0.7547,0.5444,0.4473,0.5201,0.0,0.0,0.0,0.0,0.0,0.0,60.06
sample_092,qid_2,30.0,3.0,10.0,0.7475,0.0534,0.4051,0.1263,0.0691,0.8046,0.5134,0.5115,0.1959,0.0,0.0,0.0,0.0,0.0,0.0,56.23
sample_093,qid_3,31.0,4.0,7.75,0.6738,0.0272,0.4087,0.1304,0.044,0.8256,0.6728,0.6651,0.5032,0.0,0.0,0.0,0.0,0.0,0.0,62.42
sample_094,qid_4,34.0,4.0,8.5,0.8821,0.0142,0.5323,0.1185,0.0081,0.8734,0.4901,0.3669,0.3566,0.0,0.0,0.0,0.0,0.0,0.0,52.16
sample_095,qid_5,47.0,4.0,11.75,0.5619,0.0527,0.4734,0.0963,0.0331,0.8706,0.2353,0.3177,0.6023,0.0,0.0,0.0,0.0,0.0,0.0,59.31
sample_096,qid_1,75.0,5.0,15.0,0.4963,0.0742,0.3946,0.0444,0.0653,0.8903,-0.1006,0.5422,0.2496,0.0,0.0,0.0,0.0,0.0,0.0,54.89
sample_097,qid_2,41.0,3.0,13.67,0.8598,0.026,0.3373,0.1911,0.0329,0.776,0.7379,0.785,0.3991,0.0,0.0,0.0,0.0,0.0,0.0,69.63
sample_098,qid_3,38.0,3.0,12.67,0.7491,0.0667,0.487,0.0619,0.0339,0.9042,0.2571,0.3529,0.7189,0.0,0.0,0.0,0.0,0.0,0.0,61.72
sample_099,qid_4,40.0,5.0,8.0,0.4123,0.0549,0.4439,0.1731,0.0186,0.8083,0.4236,0.5864,0.488,0.0,0.0,0.0,0.0,0.0,0.0,61.53
sample_100,qid_5,58.0,4.0,14.5,0.4082,0.0339,0.5011,0.1889,0.027,0.7841,0.7839,0.7022,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,65.14
